"game_date","season","game_type","season_game","team","opponent","location","personal_foul","points","game_score","result","score_diff"
2006-11-01,"2006/07","Reg Season",1,"CLE","WAS","Home",2,30,15.3,"Win",3
2006-11-03,"2006/07","Reg Season",2,"CLE","SAS","Away",3,37,25.1,"Win",7
2006-11-04,"2006/07","Reg Season",3,"CLE","CHA","Away",0,18,15.6,"Loss",-4
2006-11-07,"2006/07","Reg Season",4,"CLE","ATL","Home",1,40,25.2,"Loss",-9
2006-11-09,"2006/07","Reg Season",5,"CLE","CHI","Home",0,19,22.9,"Win",19
2006-11-11,"2006/07","Reg Season",6,"CLE","BOS","Home",4,40,33.8,"Win",1
2006-11-13,"2006/07","Reg Season",7,"CLE","NYK","Away",2,35,22.8,"Win",6
2006-11-15,"2006/07","Reg Season",8,"CLE","POR","Home",2,38,29.6,"Win",13
2006-11-17,"2006/07","Reg Season",9,"CLE","MIN","Home",1,41,29.5,"Win",16
2006-11-18,"2006/07","Reg Season",10,"CLE","WAS","Away",2,20,12.1,"Loss",-12
2006-11-21,"2006/07","Reg Season",11,"CLE","MEM","Home",1,17,9.6,"Win",3
2006-11-22,"2006/07","Reg Season",12,"CLE","TOR","Away",1,34,26.6,"Loss",-8
2006-11-24,"2006/07","Reg Season",13,"CLE","IND","Away",6,34,22.6,"Loss",-10
2006-11-25,"2006/07","Reg Season",14,"CLE","PHI","Home",4,27,14.8,"Win",13
2006-11-29,"2006/07","Reg Season",15,"CLE","NYK","Home",1,27,16,"Loss",-3
2006-12-01,"2006/07","Reg Season",16,"CLE","ATL","Away",4,33,25.4,"Win",11
2006-12-02,"2006/07","Reg Season",17,"CLE","HOU","Away",2,25,8.5,"Loss",-18
2006-12-06,"2006/07","Reg Season",18,"CLE","TOR","Home",1,28,22.8,"Win",4
2006-12-09,"2006/07","Reg Season",19,"CLE","IND","Home",0,29,24.4,"Win",32
2006-12-11,"2006/07","Reg Season",20,"CLE","NOK","Away",1,15,13.3,"Loss",-6
2006-12-13,"2006/07","Reg Season",21,"CLE","CHA","Home",1,22,15.1,"Win",3
2006-12-15,"2006/07","Reg Season",22,"CLE","SEA","Home",3,26,18.8,"Win",22
2006-12-16,"2006/07","Reg Season",23,"CLE","ORL","Away",4,33,19.4,"Loss",-7
2006-12-20,"2006/07","Reg Season",24,"CLE","NJN","Away",4,39,27.6,"Loss",-2
2006-12-21,"2006/07","Reg Season",25,"CLE","DET","Home",1,26,23.5,"Loss",-16
2006-12-23,"2006/07","Reg Season",26,"CLE","ORL","Home",1,36,15.5,"Win",3
2006-12-27,"2006/07","Reg Season",27,"CLE","ATL","Away",1,29,18.9,"Win",13
2006-12-29,"2006/07","Reg Season",28,"CLE","MIL","Home",5,36,21.5,"Win",10
2006-12-30,"2006/07","Reg Season",29,"CLE","CHI","Away",4,39,19.6,"Loss",-7
2007-01-02,"2006/07","Reg Season",30,"CLE","SAS","Home",1,19,11.1,"Win",4
2007-01-03,"2006/07","Reg Season",31,"CLE","BOS","Away",0,36,27.3,"Win",3
2007-01-05,"2006/07","Reg Season",32,"CLE","MIL","Away",1,8,6.5,"Win",9
2007-01-06,"2006/07","Reg Season",33,"CLE","NJN","Home",4,21,13.1,"Win",5
2007-01-09,"2006/07","Reg Season",34,"CLE","SAC","Away",3,40,26.4,"Win",10
2007-01-11,"2006/07","Reg Season",35,"CLE","PHO","Away",2,40,22,"Loss",-19
2007-01-13,"2006/07","Reg Season",36,"CLE","LAC","Away",4,28,19.7,"Win",12
2007-01-16,"2006/07","Reg Season",37,"CLE","SEA","Away",0,32,24.5,"Loss",-5
2007-01-17,"2006/07","Reg Season",38,"CLE","POR","Away",0,25,10.1,"Loss",-18
2007-01-19,"2006/07","Reg Season",39,"CLE","DEN","Away",2,30,25.7,"Loss",-11
2007-01-20,"2006/07","Reg Season",40,"CLE","GSW","Away",2,36,20.8,"Win",2
2007-01-22,"2006/07","Reg Season",41,"CLE","ORL","Home",2,18,12,"Loss",-11
2007-01-24,"2006/07","Reg Season",42,"CLE","PHI","Home",2,45,27.9,"Loss",-3
2007-01-28,"2006/07","Reg Season",43,"CLE","PHO","Home",2,36,23.4,"Loss",-15
2007-02-01,"2006/07","Reg Season",44,"CLE","MIA","Away",4,21,10.7,"Loss",-3
2007-02-02,"2006/07","Reg Season",45,"CLE","CHA","Home",1,18,16.2,"Win",20
2007-02-04,"2006/07","Reg Season",46,"CLE","DET","Home",2,23,12.7,"Loss",-12
2007-02-07,"2006/07","Reg Season",47,"CLE","LAC","Home",1,13,7,"Win",17
2007-02-09,"2006/07","Reg Season",48,"CLE","MIA","Home",1,31,21.1,"Win",24
2007-02-11,"2006/07","Reg Season",49,"CLE","LAL","Home",3,18,13,"Win",9
2007-02-14,"2006/07","Reg Season",50,"CLE","UTA","Away",2,23,16.8,"Loss",-1
2007-02-15,"2006/07","Reg Season",51,"CLE","LAL","Away",4,38,30.9,"Win",6
2007-02-21,"2006/07","Reg Season",52,"CLE","TOR","Away",3,29,16.4,"Win",1
2007-02-22,"2006/07","Reg Season",53,"CLE","CHI","Home",1,31,16.5,"Loss",-6
2007-02-25,"2006/07","Reg Season",54,"CLE","MIA","Away",2,33,19.3,"Loss",-5
2007-02-27,"2006/07","Reg Season",55,"CLE","NOK","Home",1,41,29.8,"Win",8
2007-03-01,"2006/07","Reg Season",56,"CLE","DAL","Away",2,41,26.9,"Loss",-3
2007-03-03,"2006/07","Reg Season",57,"CLE","TOR","Home",1,38,31.4,"Win",23
2007-03-05,"2006/07","Reg Season",58,"CLE","HOU","Home",2,38,24.2,"Win",6
2007-03-07,"2006/07","Reg Season",59,"CLE","DET","Away",4,43,31.9,"Win",4
2007-03-10,"2006/07","Reg Season",60,"CLE","MIL","Away",5,40,25.8,"Win",2
2007-03-11,"2006/07","Reg Season",61,"CLE","IND","Home",2,30,22.6,"Win",11
2007-03-14,"2006/07","Reg Season",62,"CLE","MEM","Away",0,37,26.3,"Win",22
2007-03-17,"2006/07","Reg Season",63,"CLE","UTA","Home",3,24,20.9,"Win",9
2007-03-20,"2006/07","Reg Season",64,"CLE","CHA","Away",4,41,25,"Loss",-8
2007-03-21,"2006/07","Reg Season",65,"CLE","DAL","Home",3,33,17.3,"Loss",-8
2007-03-23,"2006/07","Reg Season",66,"CLE","NYK","Home",1,21,21.5,"Win",22
2007-03-25,"2006/07","Reg Season",67,"CLE","DEN","Home",4,20,8.8,"Loss",-12
2007-03-27,"2006/07","Reg Season",68,"CLE","IND","Away",4,26,19.1,"Win",11
2007-03-28,"2006/07","Reg Season",69,"CLE","NYK","Away",3,28,15.7,"Loss",-4
2007-03-31,"2006/07","Reg Season",70,"CLE","CHI","Away",4,39,28.9,"Win",4
2007-04-03,"2006/07","Reg Season",71,"CLE","MIN","Away",1,31,30.3,"Win",13
2007-04-05,"2006/07","Reg Season",72,"CLE","MIA","Home",4,39,25.3,"Loss",-4
2007-04-06,"2006/07","Reg Season",73,"CLE","WAS","Away",3,25,14.3,"Win",5
2007-04-08,"2006/07","Reg Season",74,"CLE","DET","Away",2,22,11.3,"Loss",-5
2007-04-12,"2006/07","Reg Season",75,"CLE","NJN","Home",1,35,27.2,"Win",18
2007-04-14,"2006/07","Reg Season",76,"CLE","ATL","Home",1,29,22,"Win",34
2007-04-17,"2006/07","Reg Season",77,"CLE","PHI","Away",3,18,13,"Win",6
2007-04-18,"2006/07","Reg Season",78,"CLE","MIL","Home",2,26,20,"Win",13
2013-10-29,"2013/14","Reg Season",1,"MIA","CHI","Home",0,17,16.9,"Win",12
2013-10-30,"2013/14","Reg Season",2,"MIA","PHI","Away",3,33,21.4,"Loss",-4
2013-11-01,"2013/14","Reg Season",3,"MIA","BRK","Away",2,28,19.9,"Loss",-1
2013-11-03,"2013/14","Reg Season",4,"MIA","WAS","Home",2,31,17,"Win",10
2013-11-05,"2013/14","Reg Season",5,"MIA","TOR","Away",2,37,33.9,"Win",9
2013-11-07,"2013/14","Reg Season",6,"MIA","LAC","Home",4,20,10.8,"Win",5
2013-11-09,"2013/14","Reg Season",7,"MIA","BOS","Home",1,25,23.1,"Loss",-1
2013-11-12,"2013/14","Reg Season",8,"MIA","MIL","Home",0,41,21.6,"Win",23
2013-11-15,"2013/14","Reg Season",9,"MIA","DAL","Home",0,41,31.2,"Win",6
2013-11-16,"2013/14","Reg Season",10,"MIA","CHA","Away",1,30,27.4,"Win",16
2013-11-19,"2013/14","Reg Season",11,"MIA","ATL","Home",0,13,9.6,"Win",16
2013-11-20,"2013/14","Reg Season",12,"MIA","ORL","Away",0,21,20.1,"Win",28
2013-11-23,"2013/14","Reg Season",13,"MIA","ORL","Home",0,28,22.5,"Win",2
2013-11-25,"2013/14","Reg Season",14,"MIA","PHO","Home",0,39,31.6,"Win",15
2013-11-27,"2013/14","Reg Season",15,"MIA","CLE","Away",3,30,26.3,"Win",11
2013-11-29,"2013/14","Reg Season",16,"MIA","TOR","Away",2,33,20.5,"Win",7
2013-12-01,"2013/14","Reg Season",17,"MIA","CHA","Home",0,28,22.7,"Win",1
2013-12-03,"2013/14","Reg Season",18,"MIA","DET","Home",2,27,17.3,"Loss",-10
2013-12-05,"2013/14","Reg Season",19,"MIA","CHI","Away",2,23,15.2,"Loss",-20
2013-12-07,"2013/14","Reg Season",20,"MIA","MIN","Away",3,21,20.6,"Win",21
2013-12-08,"2013/14","Reg Season",21,"MIA","DET","Away",2,24,21.1,"Win",15
2013-12-10,"2013/14","Reg Season",22,"MIA","IND","Away",3,19,12,"Loss",-6
2013-12-14,"2013/14","Reg Season",23,"MIA","CLE","Home",2,25,30,"Win",7
2013-12-16,"2013/14","Reg Season",24,"MIA","UTA","Home",1,30,29.9,"Win",23
2013-12-18,"2013/14","Reg Season",25,"MIA","IND","Home",3,26,23.8,"Win",3
2013-12-20,"2013/14","Reg Season",26,"MIA","SAC","Home",1,20,21.6,"Win",19
2013-12-23,"2013/14","Reg Season",27,"MIA","ATL","Home",2,46,32.6,"Win",2
2013-12-25,"2013/14","Reg Season",28,"MIA","LAL","Away",2,19,12.8,"Win",6
2013-12-27,"2013/14","Reg Season",29,"MIA","SAC","Away",3,41,26.1,"Loss",-5
2013-12-30,"2013/14","Reg Season",30,"MIA","DEN","Away",0,36,23.4,"Win",3
2014-01-02,"2013/14","Reg Season",31,"MIA","GSW","Home",0,28,15.3,"Loss",-9
2014-01-04,"2013/14","Reg Season",32,"MIA","ORL","Away",1,15,12.7,"Win",16
2014-01-05,"2013/14","Reg Season",33,"MIA","TOR","Home",1,30,26.5,"Win",5
2014-01-07,"2013/14","Reg Season",34,"MIA","NOP","Home",1,38,25.2,"Win",19
2014-01-09,"2013/14","Reg Season",35,"MIA","NYK","Away",2,34,23.9,"Loss",-10
2014-01-10,"2013/14","Reg Season",36,"MIA","BRK","Away",6,40,25.7,"Loss",-9
2014-01-15,"2013/14","Reg Season",37,"MIA","WAS","Away",1,25,20.9,"Loss",-17
2014-01-17,"2013/14","Reg Season",38,"MIA","PHI","Away",3,21,22.6,"Win",15
2014-01-18,"2013/14","Reg Season",39,"MIA","CHA","Away",4,34,25.7,"Win",8
2014-01-20,"2013/14","Reg Season",40,"MIA","ATL","Away",1,36,21.9,"Loss",-7
2014-01-21,"2013/14","Reg Season",41,"MIA","BOS","Home",1,29,23.1,"Win",7
2014-01-23,"2013/14","Reg Season",42,"MIA","LAL","Home",1,31,22.2,"Win",7
2014-01-26,"2013/14","Reg Season",43,"MIA","SAS","Home",4,20,12.4,"Win",12
2014-01-29,"2013/14","Reg Season",44,"MIA","OKC","Home",1,36,24.8,"Loss",-17
2014-02-01,"2013/14","Reg Season",45,"MIA","NYK","Away",3,32,29.1,"Win",15
2014-02-03,"2013/14","Reg Season",46,"MIA","DET","Home",1,24,26,"Win",6
2014-02-05,"2013/14","Reg Season",47,"MIA","LAC","Away",2,37,27.7,"Win",4
2014-02-08,"2013/14","Reg Season",48,"MIA","UTA","Away",2,15,4.5,"Loss",-5
2014-02-11,"2013/14","Reg Season",49,"MIA","PHO","Away",2,41,30.6,"Win",6
2014-02-12,"2013/14","Reg Season",50,"MIA","GSW","Away",1,44,32.4,"Win",1
2014-02-18,"2013/14","Reg Season",51,"MIA","DAL","Away",2,50,37.4,"Win",11
2014-02-20,"2013/14","Reg Season",52,"MIA","OKC","Away",1,35,22.6,"Win",22
2014-02-27,"2013/14","Reg Season",53,"MIA","NYK","Home",0,33,25.1,"Win",26
2014-03-01,"2013/14","Reg Season",54,"MIA","ORL","Home",1,20,24,"Win",14
2014-03-03,"2013/14","Reg Season",55,"MIA","CHA","Home",2,77,48.8,"Win",17
2014-03-04,"2013/14","Reg Season",56,"MIA","HOU","Away",1,22,18.7,"Loss",-3
2014-03-06,"2013/14","Reg Season",57,"MIA","SAS","Away",5,19,11.5,"Loss",-24
2014-03-09,"2013/14","Reg Season",58,"MIA","CHI","Away",1,19,12.1,"Loss",-7
2014-03-10,"2013/14","Reg Season",59,"MIA","WAS","Home",3,29,23.8,"Win",9
2014-03-12,"2013/14","Reg Season",60,"MIA","BRK","Home",1,21,15.1,"Loss",-1
2014-03-14,"2013/14","Reg Season",61,"MIA","DEN","Home",3,21,13.3,"Loss",-4
2014-03-16,"2013/14","Reg Season",62,"MIA","HOU","Home",3,26,16.4,"Win",9
2014-03-18,"2013/14","Reg Season",63,"MIA","CLE","Away",1,55,42,"Win",4
2014-03-21,"2013/14","Reg Season",64,"MIA","MEM","Home",0,15,14.4,"Win",5
2014-03-22,"2013/14","Reg Season",65,"MIA","NOP","Away",1,29,22.8,"Loss",-10
2014-03-24,"2013/14","Reg Season",66,"MIA","POR","Home",2,32,25,"Win",2
2014-03-26,"2013/14","Reg Season",67,"MIA","IND","Away",3,42,27.4,"Loss",-1
2014-03-28,"2013/14","Reg Season",68,"MIA","DET","Away",0,19,22.9,"Win",32
2014-03-29,"2013/14","Reg Season",69,"MIA","MIL","Away",1,15,7.1,"Win",21
2014-03-31,"2013/14","Reg Season",70,"MIA","TOR","Home",2,34,23.5,"Win",10
2014-04-02,"2013/14","Reg Season",71,"MIA","MIL","Home",0,19,16.7,"Win",19
2014-04-04,"2013/14","Reg Season",72,"MIA","MIN","Home",5,38,26.6,"Loss",-1
2014-04-06,"2013/14","Reg Season",73,"MIA","NYK","Home",0,44,28.3,"Win",11
2014-04-08,"2013/14","Reg Season",74,"MIA","BRK","Home",0,29,26.8,"Loss",-1
2014-04-09,"2013/14","Reg Season",75,"MIA","MEM","Away",1,43,28.4,"Loss",-5
2014-04-11,"2013/14","Reg Season",76,"MIA","IND","Home",1,40,28.2,"Win",12
2014-04-12,"2013/14","Reg Season",77,"MIA","ATL","Away",2,33,18,"Loss",-13
2014-10-30,"2014/15","Reg Season",1,"CLE","NYK","Home",3,19,3.2,"Loss",-5
2014-10-31,"2014/15","Reg Season",2,"CLE","CHI","Away",1,38,27.4,"Win",6
2014-11-04,"2014/15","Reg Season",3,"CLE","POR","Away",2,15,8.8,"Loss",-19
2014-11-05,"2014/15","Reg Season",4,"CLE","UTA","Away",2,37,23.5,"Loss",-2
2014-11-07,"2014/15","Reg Season",5,"CLE","DEN","Away",1,24,20.3,"Win",9
2014-11-10,"2014/15","Reg Season",6,"CLE","NOP","Home",1,34,29.8,"Win",7
2014-11-14,"2014/15","Reg Season",7,"CLE","BOS","Away",4,47,29.5,"Win",1
2014-11-15,"2014/15","Reg Season",8,"CLE","ATL","Home",1,40,27.2,"Win",33
2014-11-17,"2014/15","Reg Season",9,"CLE","DEN","Home",2,24,14.6,"Loss",-9
2014-11-19,"2014/15","Reg Season",10,"CLE","SAS","Home",3,19,10.3,"Loss",-2
2014-11-21,"2014/15","Reg Season",11,"CLE","WAS","Away",0,26,13.2,"Loss",-13
2014-11-22,"2014/15","Reg Season",12,"CLE","TOR","Home",2,17,11.8,"Loss",-17
2014-11-24,"2014/15","Reg Season",13,"CLE","ORL","Home",0,33,31.2,"Win",32
2014-11-26,"2014/15","Reg Season",14,"CLE","WAS","Home",3,31,27.6,"Win",26
2014-11-29,"2014/15","Reg Season",15,"CLE","IND","Home",1,19,12.7,"Win",12
2014-12-02,"2014/15","Reg Season",16,"CLE","MIL","Home",1,26,16.6,"Win",3
2014-12-04,"2014/15","Reg Season",17,"CLE","NYK","Away",2,21,16.2,"Win",3
2014-12-05,"2014/15","Reg Season",18,"CLE","TOR","Away",2,28,24.3,"Win",14
2014-12-08,"2014/15","Reg Season",19,"CLE","BRK","Away",2,20,14.2,"Win",22
2014-12-09,"2014/15","Reg Season",20,"CLE","TOR","Home",1,39,29.9,"Win",4
2014-12-12,"2014/15","Reg Season",21,"CLE","NOP","Away",1,45,33.1,"Loss",-5
2014-12-15,"2014/15","Reg Season",22,"CLE","CHO","Home",2,31,26.9,"Win",9
2014-12-17,"2014/15","Reg Season",23,"CLE","ATL","Home",0,21,14.5,"Loss",-29
2014-12-19,"2014/15","Reg Season",24,"CLE","BRK","Home",4,26,15.7,"Win",4
2014-12-21,"2014/15","Reg Season",25,"CLE","MEM","Home",1,31,20.6,"Win",14
2014-12-23,"2014/15","Reg Season",26,"CLE","MIN","Home",3,32,18.8,"Win",21
2014-12-25,"2014/15","Reg Season",27,"CLE","MIA","Away",1,34,21.6,"Loss",-10
2014-12-26,"2014/15","Reg Season",28,"CLE","ORL","Away",1,29,24.3,"Win",9
2014-12-28,"2014/15","Reg Season",29,"CLE","DET","Home",3,21,6.8,"Loss",-23
2015-01-13,"2014/15","Reg Season",30,"CLE","PHO","Away",3,39,23.6,"Loss",-7
2015-01-15,"2014/15","Reg Season",31,"CLE","LAL","Away",2,44,28,"Win",7
2015-01-16,"2014/15","Reg Season",32,"CLE","LAC","Away",4,38,18.9,"Win",5
2015-01-19,"2014/15","Reg Season",33,"CLE","CHI","Home",4,26,11.4,"Win",14
2015-01-21,"2014/15","Reg Season",34,"CLE","UTA","Home",0,26,22.6,"Win",14
2015-01-23,"2014/15","Reg Season",35,"CLE","CHO","Home",1,29,28.5,"Win",39
2015-01-25,"2014/15","Reg Season",36,"CLE","OKC","Home",1,38,25.3,"Win",10
2015-01-27,"2014/15","Reg Season",37,"CLE","DET","Away",3,32,21.7,"Win",8
2015-01-30,"2014/15","Reg Season",38,"CLE","SAC","Home",1,21,14.6,"Win",11
2015-01-31,"2014/15","Reg Season",39,"CLE","MIN","Away",1,42,27.7,"Win",16
2015-02-02,"2014/15","Reg Season",40,"CLE","PHI","Home",2,20,11.9,"Win",13
2015-02-05,"2014/15","Reg Season",41,"CLE","LAC","Home",0,25,22.2,"Win",11
2015-02-06,"2014/15","Reg Season",42,"CLE","IND","Away",3,25,12.9,"Loss",-4
2015-02-08,"2014/15","Reg Season",43,"CLE","LAL","Home",2,26,17.2,"Win",15
2015-02-11,"2014/15","Reg Season",44,"CLE","MIA","Home",2,18,11.6,"Win",20
2015-02-12,"2014/15","Reg Season",45,"CLE","CHI","Away",3,35,12.3,"Loss",-15
2015-02-20,"2014/15","Reg Season",46,"CLE","WAS","Away",3,34,20.8,"Win",38
2015-02-22,"2014/15","Reg Season",47,"CLE","NYK","Away",2,20,12.3,"Win",18
2015-02-24,"2014/15","Reg Season",48,"CLE","DET","Away",3,21,13.3,"Win",9
2015-02-26,"2014/15","Reg Season",49,"CLE","GSW","Home",5,50,32.2,"Win",11
2015-03-01,"2014/15","Reg Season",50,"CLE","HOU","Away",4,45,20.8,"Loss",-2
2015-03-03,"2014/15","Reg Season",51,"CLE","BOS","Home",0,27,23.2,"Win",31
2015-03-04,"2014/15","Reg Season",52,"CLE","TOR","Away",2,35,27.6,"Win",8
2015-03-06,"2014/15","Reg Season",53,"CLE","ATL","Away",3,20,10.8,"Loss",-9
2015-03-07,"2014/15","Reg Season",54,"CLE","PHO","Home",3,21,10.2,"Win",10
2015-03-10,"2014/15","Reg Season",55,"CLE","DAL","Away",3,35,26.6,"Win",33
2015-03-12,"2014/15","Reg Season",56,"CLE","SAS","Away",2,37,25.5,"Win",3
2015-03-15,"2014/15","Reg Season",57,"CLE","ORL","Away",3,21,27.8,"Win",15
2015-03-16,"2014/15","Reg Season",58,"CLE","MIA","Away",2,34,14.1,"Loss",-14
2015-03-18,"2014/15","Reg Season",59,"CLE","BRK","Home",1,20,12.9,"Win",25
2015-03-20,"2014/15","Reg Season",60,"CLE","IND","Home",0,33,18.2,"Win",3
2015-03-22,"2014/15","Reg Season",61,"CLE","MIL","Away",1,30,28.4,"Win",18
2015-03-25,"2014/15","Reg Season",62,"CLE","MEM","Away",2,26,16,"Win",22
2015-03-27,"2014/15","Reg Season",63,"CLE","BRK","Away",4,28,24.8,"Loss",-8
2015-03-29,"2014/15","Reg Season",64,"CLE","PHI","Home",0,22,9.2,"Win",1
2015-04-02,"2014/15","Reg Season",65,"CLE","MIA","Home",3,25,21.6,"Win",26
2015-04-05,"2014/15","Reg Season",66,"CLE","CHI","Home",4,22,21.4,"Win",5
2015-04-08,"2014/15","Reg Season",67,"CLE","MIL","Away",2,25,21.3,"Win",5
2015-04-10,"2014/15","Reg Season",68,"CLE","BOS","Home",1,14,7.6,"Loss",-9
2015-04-13,"2014/15","Reg Season",69,"CLE","DET","Home",0,27,24.7,"Win",12
2018-10-18,"2018/19","Reg Season",1,"LAL","POR","Away",3,26,20.4,"Loss",-9
2018-10-20,"2018/19","Reg Season",2,"LAL","HOU","Home",0,26,18.1,"Loss",-9
2018-10-22,"2018/19","Reg Season",3,"LAL","SAS","Home",2,36,26.6,"Loss",-1
2018-10-24,"2018/19","Reg Season",4,"LAL","PHO","Away",1,21,22.3,"Win",18
2018-10-25,"2018/19","Reg Season",5,"LAL","DEN","Home",3,30,29.7,"Win",7
2018-10-27,"2018/19","Reg Season",6,"LAL","SAS","Away",3,39,28.4,"Loss",-4
2018-10-29,"2018/19","Reg Season",7,"LAL","MIN","Away",2,35,24.3,"Loss",-4
2018-10-31,"2018/19","Reg Season",8,"LAL","DAL","Home",3,33,23.8,"Win",1
2018-11-03,"2018/19","Reg Season",9,"LAL","POR","Away",1,30,21.2,"Win",4
2018-11-04,"2018/19","Reg Season",10,"LAL","TOR","Home",3,22,12.1,"Loss",-14
2018-11-07,"2018/19","Reg Season",11,"LAL","MIN","Home",1,30,20.9,"Win",4
2018-11-10,"2018/19","Reg Season",12,"LAL","SAC","Away",2,31,17.1,"Win",15
2018-11-11,"2018/19","Reg Season",13,"LAL","ATL","Home",1,32,18.1,"Win",1
2018-11-14,"2018/19","Reg Season",14,"LAL","POR","Home",0,54,44.3,"Win",9
2018-11-17,"2018/19","Reg Season",15,"LAL","ORL","Away",0,28,15.3,"Loss",-13
2018-11-18,"2018/19","Reg Season",16,"LAL","MIA","Away",3,63,40.1,"Win",16
2018-11-21,"2018/19","Reg Season",17,"LAL","CLE","Away",3,36,26.2,"Win",4
2018-11-23,"2018/19","Reg Season",18,"LAL","UTA","Home",1,26,18.1,"Win",7
2018-11-25,"2018/19","Reg Season",19,"LAL","ORL","Home",4,28,14.6,"Loss",-4
2018-11-27,"2018/19","Reg Season",20,"LAL","DEN","Away",0,14,7.6,"Loss",-32
2018-11-29,"2018/19","Reg Season",21,"LAL","IND","Home",2,42,28.7,"Win",8
2018-11-30,"2018/19","Reg Season",22,"LAL","DAL","Home",3,32,17.9,"Win",11
2018-12-02,"2018/19","Reg Season",23,"LAL","PHO","Home",0,24,16.4,"Win",24
2018-12-05,"2018/19","Reg Season",24,"LAL","SAS","Home",1,48,34.9,"Win",8
2018-12-07,"2018/19","Reg Season",25,"LAL","SAS","Away",4,41,29.7,"Loss",-13
2018-12-08,"2018/19","Reg Season",26,"LAL","MEM","Away",2,20,15.9,"Win",23
2018-12-10,"2018/19","Reg Season",27,"LAL","MIA","Home",0,36,27.2,"Win",3
2018-12-13,"2018/19","Reg Season",28,"LAL","HOU","Away",1,35,22.5,"Loss",-15
2018-12-15,"2018/19","Reg Season",29,"LAL","CHO","Away",0,28,24.4,"Win",28
2018-12-16,"2018/19","Reg Season",30,"LAL","WAS","Away",0,13,3.2,"Loss",-18
2018-12-18,"2018/19","Reg Season",31,"LAL","BRK","Away",1,40,29.3,"Loss",-5
2018-12-21,"2018/19","Reg Season",32,"LAL","NOP","Home",3,22,23,"Win",8
