"track","artist","genre","total_words","good_words","unique_words"
"Amazed","Lonestar","COUNTRY",60,11,10
"Neon Moon","Brooks & Dunn","COUNTRY",35,17,9
"Meet In the Middle","Diamond Rio","COUNTRY",42,14,11
"She's In Love With The Boy - Single Version","Trisha Yearwood","COUNTRY",279,206,132
"She Won't Be Lonely Long","Clay Walker","COUNTRY",60,22,14
"I'm Alright","Jo Dee Messina","COUNTRY",15,6,5
"Sold (The Grundy County Auction Incident)","John Michael Montgomery","COUNTRY",111,36,32
"Forever and Ever, Amen","Randy Travis","COUNTRY",23,10,6
"You're Gonna Miss This","Trace Adkins","COUNTRY",64,19,9
"Bubba Shot The Jukebox","Mark Chesnutt","COUNTRY",21,14,8
"Watermelon Crawl","Tracy Byrd","COUNTRY",53,23,18
"Love, Me","Collin Raye","COUNTRY",269,64,48
"Pickup Man","Joe Diffie","COUNTRY",81,25,22
"She Don't Know She's Beautiful","Sammy Kershaw","COUNTRY",175,37,9
"Time Marches On","Tracy Lawrence","COUNTRY",32,22,10
"Redneck Yacht Club","Craig Morgan","COUNTRY",120,98,31
"Suds in the Bucket","Sara Evans","COUNTRY",48,17,16
"Better Things To Do","Terri Clark","COUNTRY",121,29,27
"Killin' Time","Clint Black","COUNTRY",15,6,4
"Would You Go With Me","Josh Turner","COUNTRY",77,17,17
"Redneck Woman","Gretchen Wilson","COUNTRY",235,94,46
"Caught Up In The Country","Rodney Atkins","COUNTRY",204,63,28
"Tequila Makes Her Clothes Fall Off","Joe Nichols","COUNTRY",87,40,23
"Fancy","Reba McEntire","COUNTRY",255,82,73
"Independence Day","Martina McBride","COUNTRY",11,7,6
"Save a Horse (Ride a Cowboy)","Big & Rich","COUNTRY",179,65,46
"7500 OBO","Tim McGraw","COUNTRY",11,7,4
"Song of the South","Alabama","COUNTRY",185,74,47
"Good Directions","Billy Currington","COUNTRY",11,6,5
"Some Girls Do","Sawyer Brown","COUNTRY",23,7,4
"This Kiss","Faith Hill","COUNTRY",156,108,18
"Two Dozen Roses","Shenandoah","COUNTRY",142,43,22
"Chicks Dig It - Single Edit","Chris Cagle","COUNTRY",336,142,77
"I Hope You Dance","Lee Ann Womack","COUNTRY",116,33,9
"Whiskey Lullaby (feat. Alison Krauss)","Brad Paisley","COUNTRY",59,59,6
"Every Storm (Runs Out Of Rain)","Gary Allan","COUNTRY",26,13,10
"Just Another Day In Paradise","Phil Vassar","COUNTRY",40,15,11
"Life is a Highway","Rascal Flatts","COUNTRY",224,96,18
"Something to Be Proud Of","Montgomery Gentry","COUNTRY",36,7,3
"Girl Crush","Little Big Town","COUNTRY",23,11,9
"Go Rest High On That Mountain","Vince Gill","COUNTRY",19,8,8
"Check Yes Or No","George Strait","COUNTRY",21,7,3
"You've Got to Stand for Something","Aaron Tippin","COUNTRY",295,54,30
"Straight Tequila Night","John Anderson","COUNTRY",249,92,45
"Wink","Neal McCoy","COUNTRY",127,45,29
"Grandpa (Tell Me 'Bout The Good Old Days)","The Judds","COUNTRY",74,26,20
"One Too Many","Keith Urban","COUNTRY",15,4,4
"Strawberry Wine","Deana Carter","COUNTRY",29,16,13
"Maybe It Was Memphis","Pam Tillis","COUNTRY",233,73,45
"Stuck Like Glue","Sugarland","COUNTRY",292,75,13
"If I Was a Cowboy","Miranda Lambert","COUNTRY",175,73,43
"Should've Been A Cowboy","Toby Keith","COUNTRY",19,7,6
"Except for Monday","Lorrie Morgan","COUNTRY",193,57,40
"Delta Dawn","Tanya Tucker","COUNTRY",274,80,37
"Dust On The Bottle","David Lee Murphy","COUNTRY",94,21,8
"God's Country","Blake Shelton","COUNTRY",216,88,46
"American Kids","Kenny Chesney","COUNTRY",161,89,44
"Chattahoochee","Alan Jackson","COUNTRY",7,5,5
"God Blessed Texas","Little Texas","COUNTRY",160,53,37
"Beers On Me","Dierks Bentley","COUNTRY",264,88,64
"Wagon Wheel","Darius Rucker","COUNTRY",99,57,13
"Have You Forgotten?","Darryl Worley","COUNTRY",312,95,62
"How Country Feels","Randy Houser","COUNTRY",53,18,13
"Blame It on Your Heart","Patty Loveless","COUNTRY",298,111,38
"Made For You","Jake Owen","COUNTRY",47,14,13
"Need You Now","Lady A","COUNTRY",15,3,3
"Livin' Our Love Song","Jason Michael Carroll","COUNTRY",240,74,59
"Goodbye Says It All","BlackHawk","COUNTRY",55,21,14
"Too Much Fun","Daryle Singletary","COUNTRY",327,73,46
"When You Say Nothing at All","Keith Whitley","COUNTRY",57,10,10
"Why Didn't I Think Of That","Doug Stone","COUNTRY",336,72,42
"Louisiana Saturday Night","Mel McDaniel","COUNTRY",259,125,50
"Springsteen","Eric Church","COUNTRY",62,15,4
"All Over The Road","Easton Corbin","COUNTRY",69,15,11
"Famous Friends","Chris Young","COUNTRY",45,16,9
"Just Got Paid","Emerson Drive","COUNTRY",197,106,46
"If I Die Young","The Band Perry","COUNTRY",65,25,21
"This Cowboy's Hat","Chris LeDoux","COUNTRY",43,22,22
"I'll Leave This World Loving You","Ricky Van Shelton","COUNTRY",125,36,18
"Holes In The Floor Of Heaven","Steve Wariner","COUNTRY",343,102,62
"Bop","Dan Seals","COUNTRY",43,13,10
"No One Else On Earth","Wynonna","COUNTRY",29,6,5
"Pickin' Wildflowers","Keith Anderson","COUNTRY",145,65,38
"Red High Heels","Kellie Pickler","COUNTRY",14,7,4
"Outskirts of Heaven","Craig Campbell","COUNTRY",44,22,14
"Lover, Lover","Jerrod Niemann","COUNTRY",361,112,42
"We Didn't Have Much","Justin Moore","COUNTRY",84,22,18
"Only Here For A Little While","Billy Dean","COUNTRY",274,87,46
"Smoky Mountain Rain","Ronnie Milsap","COUNTRY",44,20,9
"Holding Her and Loving You","Earl Thomas Conley","COUNTRY",123,21,15
"Nothin' To Lose","Josh Gracin","COUNTRY",62,26,19
"Family Tradition","Hank Williams, Jr.","COUNTRY",56,19,17
"In Color","Jamey Johnson","COUNTRY",33,13,11
"Pour Me","Trick Pony","COUNTRY",35,19,9
"You Won't Ever Be Lonely","Andy Griggs","COUNTRY",221,54,34
"Elvira","The Oak Ridge Boys","COUNTRY",12,8,6
"What Mattered Most","Ty Herndon","COUNTRY",51,18,18
"Cowboy Take Me Away","The Chicks","COUNTRY",48,18,12
"Before He Cheats","Carrie Underwood","COUNTRY",19,6,4
"When She Cries","Restless Heart","COUNTRY",27,8,7
"If I Didn't Love You","Jason Aldean","COUNTRY",265,42,21
"There Is No Arizona","Jamie O'Neal","COUNTRY",273,81,47
"Whatever She's Got","David Nail","COUNTRY",32,8,8
"Let Your Love Flow","The Bellamy Brothers","COUNTRY",24,10,7
"I Love a Rainy Night","Eddie Rabbitt","COUNTRY",304,145,35
"Little Good-Byes","SHeDAISY","COUNTRY",145,56,33
"Fast as You","Dwight Yoakam","COUNTRY",58,15,11
"Crazy Girl","Eli Young Band","COUNTRY",13,9,4
"Play It Again","Luke Bryan","COUNTRY",24,10,4
"Five More Minutes","Scotty McCreery","COUNTRY",76,21,20
"Chicken Fried","Zac Brown Band","COUNTRY",106,45,22
"Hello Darlin'","Conway Twitty","COUNTRY",181,52,39
"One Wing In The Fire","Trent Tomlinson","COUNTRY",55,15,14
"Small Town Saturday Night","Hal Ketchum","COUNTRY",270,117,69
"Bottoms Up","Brantley Gilbert","COUNTRY",67,26,19
"Guys Do It All the Time","Mindy McCready","COUNTRY",32,14,5
"Dumas Walker","The Kentucky Headhunters","COUNTRY",234,73,43
"Someday Soon","Suzy Bogguss","COUNTRY",215,71,36
"One Of Them Girls","Lee Brice","COUNTRY",10,4,4
"Sunshine & Whiskey","Frankie Ballard","COUNTRY",85,33,18
"Can’t Help Myself","Dean Brody","COUNTRY",117,7,4
"Follow Me","Uncle Kracker","COUNTRY",69,15,8
"Same Old Train","Marty Stuart","COUNTRY",23,6,4
"He Stopped Loving Her Today","George Jones","COUNTRY",30,11,7
"Head Over Boots","Jon Pardi","COUNTRY",28,14,13
"Rose Colored Glasses","John Conlee","COUNTRY",23,10,7
"The Devil Went Down to Georgia","The Charlie Daniels Band","COUNTRY",41,22,21
"Redneck Crazy","Tyler Farr","COUNTRY",59,27,22
"Somethin' 'Bout A Truck","Kip Moore","COUNTRY",124,55,26
"You're Still The One","Shania Twain","COUNTRY",193,54,13
"Getting Over Him","Lauren Alaina","COUNTRY",58,23,22
"That Ain't My Truck","Rhett Akins","COUNTRY",282,63,34
"Eighteen Wheels And A Dozen Roses","Kathy Mattea","COUNTRY",213,77,41
"Convoy","Paul Brandt","COUNTRY",700,289,156
"What Kind Of Fool Do You Think I Am","Lee Roy Parnell","COUNTRY",96,27,20
"Damn Drunk","Ronnie Dunn","COUNTRY",15,7,6
"Lookin' for Love","Johnny Lee","COUNTRY",102,41,16
"Do Ya'","K.T. Oslin","COUNTRY",229,70,28
"Set 'Em Up Joe","Vern Gosdin","COUNTRY",202,93,33
"Riding With Private Malone","David Ball","COUNTRY",82,28,18
"Cruise","Florida Georgia Line","COUNTRY",82,32,23
"God Gave Me You","Bryan White","COUNTRY",280,62,42
"Die A Happy Man","Thomas Rhett","COUNTRY",34,13,6
"Hell on Heels","Pistol Annies","COUNTRY",92,33,16
"Down at the Twist and Shout","Mary Chapin Carpenter","COUNTRY",74,25,22
"I'm Not For Everyone","Brothers Osborne","COUNTRY",76,21,20
"Single White Female","Chely Wright","COUNTRY",75,25,24
"Cheater, Cheater","Joey + Rory","COUNTRY",336,112,56
"Eyes On You","Chase Rice","COUNTRY",170,33,8
"I Loved 'Em Every One","T.G. Sheppard","COUNTRY",220,64,33
"Want That Back","Brett Eldredge","COUNTRY",36,2,2
"Never Say Never (with Lainey Wilson)","Cole Swindell","COUNTRY",470,351,319
"Where Your Road Leads","Garth Brooks","COUNTRY",47,17,14
"Sweet Southern Comfort","Buddy Jewell","COUNTRY",44,34,22
"Wanted","Hunter Hayes","COUNTRY",58,12,7
"Are You Gonna Kiss Me Or Not","Thompson Square","COUNTRY",16,6,4
"(Kissed You) Good Night","Gloriana","COUNTRY",53,22,6
"Drink, Swear, Steal & Lie","Michael Peterson","COUNTRY",106,43,15
"Die From A Broken Heart","Maddie & Tae","COUNTRY",106,44,25
"Who I Am","Jessica Andrews","COUNTRY",362,85,41
"I Believe In You","Don Williams","COUNTRY",24,6,6
"I Got the Boy","Jana Kramer","COUNTRY",57,13,11
"I Wanna Fall in Love","Lila McCann","COUNTRY",80,35,15
"Stealing Cinderella","Chuck Wicks","COUNTRY",60,24,22
"Break Down Here","Julie Roberts","COUNTRY",7,5,5
"Coal Miner's Daughter - Single Version","Loretta Lynn","COUNTRY",261,101,80
"Just the Way","Parmalee","COUNTRY",502,120,55
"Stand By Your Man","Tammy Wynette","COUNTRY",139,37,20
"She Likes It (feat. Jake Scott)","Russell Dickerson","COUNTRY",511,368,327
"Reno","Doug Supernaw","COUNTRY",273,68,34
"The Ride","David Allan Coe","COUNTRY",348,128,66
"God Bless The U.S.A.","Lee Greenwood","COUNTRY",64,18,16
"Fishin' in the Dark","Nitty Gritty Dirt Band","COUNTRY",143,53,19
"Pancho and Lefty","Merle Haggard","COUNTRY",28,9,9
"Country Boy (feat. Charlie Daniels, Chris Young, & George Jones)","Aaron Lewis","COUNTRY",55,16,10
"Workin' on","Colt Ford","COUNTRY",91,44,40
"Nobody Knows","Kevin Sharp","COUNTRY",55,14,8
"Stop Draggin' Your Boots","Danielle Bradbery","COUNTRY",38,20,9
"Whiskey, If You Were a Woman","Highway 101","COUNTRY",140,33,22
"Whatever It Takes","High Valley","COUNTRY",166,51,19
"Flowers On The Wall","Eric Heatherly","COUNTRY",275,91,51
"Brand New Girlfriend","Steve Holy","COUNTRY",49,27,22
"Don't It Make My Brown Eyes Blue","Crystal Gayle","COUNTRY",166,41,20
"Buy Me a Boat","Chris Janson","COUNTRY",33,11,7
"East Bound and Down","Jerry Reed","COUNTRY",47,16,12
"Kiss an Angel Good Mornin'","Charley Pride","COUNTRY",203,52,28
"Stand By Me - Single Version","Mickey Gilley","COUNTRY",161,39,17
"In Time","Mark Collie","COUNTRY",11,4,4
"Daddy's Hands","Holly Dunn","COUNTRY",219,82,43
"Love You Like That","Canaan Smith","COUNTRY",17,11,6
"Fancy Like","Walker Hayes","COUNTRY",336,148,54
"Fourteen Carat Mind","Gene Watson","COUNTRY",204,80,53
"Backroad Song","Granger Smith","COUNTRY",238,121,17
"Take This Job and Shove It","Johnny Paycheck","COUNTRY",69,19,12
"Mammas Don't Let Your Babies Grow up to Be Cowboys","Waylon Jennings","COUNTRY",69,25,17
"I Got Mexico","Eddy Raven","COUNTRY",216,57,32
"New Truck","Dylan Scott","COUNTRY",86,22,19
"Highway 40 Blues","Ricky Skaggs","COUNTRY",190,80,63
"Whiskey And Rain","Michael Ray","COUNTRY",96,46,26
"Daddy's Come Around","Paul Overstreet","COUNTRY",27,10,7
"Unlove You","Jennifer Nettles","COUNTRY",14,5,4
"Broken - Single Version","Lindsey Haun","COUNTRY",249,73,44
"Angel Eyes","Love and Theft","COUNTRY",101,47,15
"Do You Believe Me Now","Jimmy Wayne","COUNTRY",311,64,31
"A Different World","Bucky Covington","COUNTRY",162,59,54
"Flowers on the Wall","The Statler Brothers","COUNTRY",23,4,4
"Johnny & June","Heidi Newfield","COUNTRY",33,14,11
"The Bones","Maren Morris","COUNTRY",131,53,23
"Blame It On Waylon","Josh Thompson","COUNTRY",300,109,51
"One Voice","Billy Gilman","COUNTRY",177,68,46
"Not On Your Love","Jeff Carson","COUNTRY",234,52,31
"That's How I Got To Memphis","Tom T. Hall","COUNTRY",8,3,3
"I Hope You’re Happy Now","Carly Pearce","COUNTRY",17,8,5
"Forgive","Rebecca Lynn Howard","COUNTRY",222,37,30
"What I Really Meant To Say","Cyndi Thomson","COUNTRY",259,66,44
"One Man Band","Old Dominion","COUNTRY",83,26,20
"Queens Don't","RaeLynn","COUNTRY",84,26,21
"Complicated","Carolyn Dawn Johnson","COUNTRY",10,4,3
"Sounds So Good","Ashton Shepherd","COUNTRY",292,89,41
"Big, Big Plans","Chris Lane","COUNTRY",44,5,3
"Dance The Night Away","The Mavericks","COUNTRY",201,51,16
"9 to 5","Dolly Parton","COUNTRY",183,53,24
"500 Miles Away from Home","Bobby Bare","COUNTRY",37,15,9
"Seven Year Ache","Rosanne Cash","COUNTRY",85,19,10
"When You Lie Next To Me","Kellie Coffey","COUNTRY",260,68,36
"Chasing After You","Ryan Hurd","COUNTRY",81,26,17
"Girl Who Didn't Care","Tenille Townes","COUNTRY",83,25,21
"The Gambler","Kenny Rogers","COUNTRY",105,35,16
"Pray for You","Jaron And The Long Road To Love","COUNTRY",8,4,3
"Truth About You","Mitchell Tenpenny","COUNTRY",140,27,17
"Just Got Started Lovin' You","James Otto","COUNTRY",89,26,18
"10,000 Hours (with Justin Bieber)","Dan + Shay","COUNTRY",464,333,307
"Ran into You","Mitch Rossell","COUNTRY",273,92,45
"Burning House","Cam","COUNTRY",48,16,14
"Freight Train","Aaron Watson","COUNTRY",130,53,44
"How Does It Sound","Dylan Schneider","COUNTRY",52,18,14
"Feed Jake","Pirates Of The Mississippi","COUNTRY",57,24,14
"Your Love Amazes Me","John Berry","COUNTRY",131,45,35
"I Play Chicken with the Train (with Big & Rich)","Cowboy Troy","COUNTRY",17,8,8
"Yes!","Chad Brock","COUNTRY",5,2,2
"I've Been Around Enough To Know","John Schneider","COUNTRY",189,31,24
"The Most Beautiful Girl","Charlie Rich","COUNTRY",214,55,25
"Wasting All These Tears","Cassadee Pope","COUNTRY",22,8,8
"Act Naturally","Buck Owens","COUNTRY",42,13,12
"Wishful Drinking (with Sam Hunt)","Ingrid Andress","COUNTRY",527,398,361
"King Of The Road","Roger Miller","COUNTRY",222,90,47
"You Can Let Go","Crystal Shawanda","COUNTRY",54,9,8
"Should Have Known Better","Jessie James Decker","COUNTRY",83,27,12
"In Case You Didn't Know","Brett Young","COUNTRY",74,17,13
"One Night Standards","Ashley McBryde","COUNTRY",71,24,19
"Somebody Like That","Tenille Arts","COUNTRY",15,4,4
"Coulda Loved You Longer","Adam Doleac","COUNTRY",71,33,8
"Just Good Ol' Boys","Moe Bandy","COUNTRY",294,83,60
"Leave Her Wild","Tyler Rich","COUNTRY",107,39,11
"I Quit Drinking","Kelsea Ballerini","COUNTRY",123,41,27
"Old Enough to Know Better","Wade Hayes","COUNTRY",275,58,44
"Angel Of The Morning","Juice Newton","COUNTRY",56,27,10
"Forever After All","Luke Combs","COUNTRY",6,3,3
"Heaven's Just A Sin Away","The Kendalls","COUNTRY",182,48,27
"I Tell It Like It Used To Be","T. Graham Brown","COUNTRY",66,4,4
"Cold Beer Calling My Name","Jameson Rodgers","COUNTRY",190,66,44
"Made","Spencer Crandall","COUNTRY",97,27,15
"Wildflower","the JaneDear girls","COUNTRY",26,17,5
"Give In to Me","Garrett Hedlund","COUNTRY",180,36,26
"Baby Likes To Rock It","The Tractors","COUNTRY",37,26,11
"Drive","CHASE WRIGHT","COUNTRY",66,23,20
"Every Little Thing","Carlene Carter","COUNTRY",36,8,5
"For the Good Times","Ray Price","COUNTRY",44,20,20
"Achy Breaky Heart","Billy Ray Cyrus","COUNTRY",78,30,9
"Long, Slow Kisses","Jeff Bates","COUNTRY",28,13,9
"Teddy Bear","Red Sovine","COUNTRY",124,44,40
"Dirt Road Down","Travis Denning","COUNTRY",322,129,64
"Black Coffee","Lacy J. Dalton","COUNTRY",204,67,28
"Findin' A Good Man","Danielle Peck","COUNTRY",5,2,2
"Now I Know","Lari White","COUNTRY",299,52,24
"I Don't Wanna Go To Heaven","Nate Smith","COUNTRY",90,25,11
"The Mississippi Squirrel Revival","Ray Stevens","COUNTRY",1428,637,390
"What's Forever For?","Michael Martin Murphey","COUNTRY",33,13,11
"Long Line of Losers","Kevin Fowler","COUNTRY",54,21,16
"Grow Old with Me","Sunny Sweeney","COUNTRY",56,14,12
"Heart's In Your Head","Renee Blair","COUNTRY",23,11,6
"Fight Like A Girl","Bomshel","COUNTRY",285,102,71
"Before I Knew It","Mason Ramsey","COUNTRY",18,3,3
"Hard Things","Sarah Buxton","COUNTRY",71,20,12
"I Choose You","Amanda Jordan","COUNTRY",60,17,12
"Here's a Quarter (Call Someone Who Cares)","Travis Tritt","COUNTRY",20,11,7
"I Do (Cherish You)","Mark Wills","COUNTRY",76,13,10
"Daddy Never Was the Cadillac Kind","Confederate Railroad","COUNTRY",337,91,56
"Can't Fight The Moonlight","LeAnn Rimes","COUNTRY",251,122,24
"Thinking 'Bout You (feat. Lauren Alaina)","Dustin Lynch","COUNTRY",435,312,288
"Heaven On Dirt","Gord Bamford","COUNTRY",256,108,64
"Hands on You","Ashley Monroe","COUNTRY",204,63,31
"Can I Kick It?","A Tribe Called Quest","HIP HOP",409,120,92
"Hip Hop Hooray","Naughty By Nature","HIP HOP",427,187,138
"Don't Sweat The Technique","Eric B. & Rakim","HIP HOP",20,10,5
"Ms. Fat Booty","Mos Def","HIP HOP",776,301,254
"Passin' Me By","The Pharcyde","HIP HOP",211,25,5
"Street Talkin'","Slick Rick","HIP HOP",165,82,75
"Work","Gang Starr","HIP HOP",121,48,27
"Tonight's Da Night","Redman","HIP HOP",490,195,148
"Sound of da Police","KRS-One","HIP HOP",300,130,51
"When I B On Tha Mic","Rakim","HIP HOP",53,27,11
"Shadowboxin'","GZA","HIP HOP",132,78,36
"Strictly Business","EPMD","HIP HOP",434,150,111
"Harder Than You Think","Public Enemy","HIP HOP",230,108,32
"I Know What You Want (feat. Flipmode Squad)","Busta Rhymes","HIP HOP",519,407,244
"Deadly Combination","Big L","HIP HOP",53,23,17
"Mama Said Knock You Out","LL Cool J","HIP HOP",456,238,63
"Rock Co.Kane Flow (feat. MF Doom)","De La Soul","HIP HOP",76,43,42
"Ain't No Half-Steppin'","Big Daddy Kane","HIP HOP",236,70,65
"They Reminisce Over You (T.R.O.Y.)","Pete Rock & C.L. Smooth","HIP HOP",108,43,24
"Phone Tap","AZ","HIP HOP",73,31,25
"You Got Me","The Roots","HIP HOP",49,10,8
"Iron Maiden","Ghostface Killah","HIP HOP",57,43,15
"Me Or The Papes","Jeru The Damaja","HIP HOP",498,159,127
"Rebirth Of Slick (Cool Like Dat)","Digable Planets","HIP HOP",229,94,76
"Definition","Black Star","HIP HOP",320,123,94
"The Humpty Dance","Digital Underground","HIP HOP",38,14,12
"Slow Down","Brand Nubian","HIP HOP",653,223,162
"9mm Goes Bang","Boogie Down Productions","HIP HOP",129,104,12
"Grown Man Sport","Pete Rock","HIP HOP",62,29,20
"Walk This Way (feat. Aerosmith)","Run–D.M.C.","HIP HOP",75,26,9
"Mind Playing Tricks on Me","Geto Boys","HIP HOP",170,61,53
"Mistadobalina","Del The Funky Homosapien","HIP HOP",65,53,6
"Real Hip-Hop","Das EFX","HIP HOP",587,292,81
"Flava in Ya Ear","Craig Mack","HIP HOP",101,52,21
"The Light","Common","HIP HOP",27,7,6
"Who Got Da Props","Black Moon","HIP HOP",420,139,24
"What's Golden","Jurassic 5","HIP HOP",200,58,13
"Hate It Or Love It","The Game","HIP HOP",262,95,73
"For Da Brothaz","Kool G Rap","HIP HOP",394,146,91
"Vivrant Thing","Q-Tip","HIP HOP",68,33,9
"People Everyday","Arrested Development","HIP HOP",259,95,89
"What's Luv? (feat. Ja-Rule & Ashanti)","Fat Joe","HIP HOP",963,805,262
"Music (feat. Marvin Gaye)","Erick Sermon","HIP HOP",508,234,111
"N.Y. State of Mind","Nas","HIP HOP",476,209,178
"I Like It (I Wanna Be Where You Are)","Grand Puba","HIP HOP",725,238,140
"Diet Coke","Pusha T","HIP HOP",168,58,55
"The Choice Is Yours (Revisited)","Black Sheep","HIP HOP",300,66,52
"Luchini AKA This Is It","Camp Lo","HIP HOP",123,52,35
"Smile","Scarface","HIP HOP",238,101,80
"Chief Rocka","Lords Of The Underground","HIP HOP",314,118,84
